"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","participant_id","list_name","rt","stimulus","response","texture"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","0km3qhog1t","3","textures_list1","","","",""
"","","","","","html-button-response","1","3756","0.0-1.0","0km3qhog1t","3","textures_list1","3754","<div style='text-align:center; font-size:20px; line-height:25px; width: 1200px;'>
                Welcome to our experiment! <br>
                <br>At the bottom of this screen, you will see a button that says 'Begin Experiment.
                <br>Please only click that button when you are ready to complete the 25 minute experiment in one sitting. <br>
                <br> Once you click that button, it will not be possible to restart the experiment. <br><br>","0",""
"true","","","","","fullscreen","2","5604","0.0-2.0","0km3qhog1t","3","textures_list1","844","","",""
"","","","","","html-button-response","3","109072","0.0-3.0","0km3qhog1t","3","textures_list1","103468","
        <div style=""width:100%; display:flex; justify-content:center; align-items: flex-start; height: auto; flex-direction: column; margin-top: 80px; margin-bottom: 50px;"">

            <!-- Centered Header Text -->
            <div style=""width:1200px; text-align:left; font-size:24px; margin-top:-250px; margin-left: 80px;"">
                During this experiment, you will be presented with a series of texture tiles.
                <br><br> Some of the textures will feel very 'uniform,' which means they feel similar across the whole tile.
                <br> Some of the textures will feel very 'non-uniform,' which means they feel different in different parts of the tile.
                <br><br> During this experiment, you will feel a series of textures, one at a time, like the ones in front of you now. Please take a moment to feel all of the textures in front of you.
                <br><br> Your task is to rate how uniform the texture appears on a scale from 1 indicating they are 'not at all uniform' to 7 indicating they are 'very much uniform'.
                <br><br> So you know what 'very much uniform' and 'not at all uniform' means to you in the context of these textures, please think about which textures in front of you, you consider 'very much uniform,' and which textures you consider 'not at all uniform.'
                <br><br> You will be asked to rate each texture on its uniformity by verbally stating a number on a scale from 1 to 7.
                <br><br> Please be sure to feel the entire texture tile as you make your rating.
                <br><br> Do you have any questions before we begin?
            </div>
        ","0",""
"","","","","","html-keyboard-response","4","119109","0.0-4.0","0km3qhog1t","3","textures_list1","10035","<p>You have been assigned to <strong>textures_list1</strong>.</p>
               <p>Press any key to begin the experiment.</p>","enter",""
"","","","","","survey-text","5","134453","0.0-5.0","0km3qhog1t","3","textures_list1","15340","","{""Q0"":""2""}","D96"
"","","","","","survey-text","6","154445","0.0-6.0","0km3qhog1t","3","textures_list1","19990","","{""Q0"":""5""}","D72"
"","","","","","survey-text","7","179030","0.0-7.0","0km3qhog1t","3","textures_list1","24583","","{""Q0"":""4""}","D78"
"","","","","","survey-text","8","190208","0.0-8.0","0km3qhog1t","3","textures_list1","11176","","{""Q0"":""5""}","D106"
"","","","","","survey-text","9","211357","0.0-9.0","0km3qhog1t","3","textures_list1","21147","","{""Q0"":""4""}","D66"
"","","","","","survey-text","10","229894","0.0-10.0","0km3qhog1t","3","textures_list1","18536","","{""Q0"":""3""}","D110"
"","","","","","survey-text","11","243654","0.0-11.0","0km3qhog1t","3","textures_list1","13758","","{""Q0"":""4""}","D92"
"","","","","","survey-text","12","257452","0.0-12.0","0km3qhog1t","3","textures_list1","13796","","{""Q0"":""2""}","D2"
"","","","","","survey-text","13","268599","0.0-13.0","0km3qhog1t","3","textures_list1","11146","","{""Q0"":""1""}","D88"
"","","","","","survey-text","14","283796","0.0-14.0","0km3qhog1t","3","textures_list1","15195","","{""Q0"":""2""}","D70"
"","","","","","survey-text","15","303205","0.0-15.0","0km3qhog1t","3","textures_list1","19407","","{""Q0"":""2""}","D58"
"","","","","","survey-text","16","322295","0.0-16.0","0km3qhog1t","3","textures_list1","19087","","{""Q0"":""3""}","D43*"
"","","","","","survey-text","17","336374","0.0-17.0","0km3qhog1t","3","textures_list1","14073","","{""Q0"":""1""}","D81"
"","","","","","survey-text","18","350795","0.0-18.0","0km3qhog1t","3","textures_list1","14414","","{""Q0"":""6""}","D21"
"","","","","","survey-text","19","363807","0.0-19.0","0km3qhog1t","3","textures_list1","13010","","{""Q0"":""3""}","D79"
"","","","","","survey-text","20","382458","0.0-20.0","0km3qhog1t","3","textures_list1","18649","","{""Q0"":""4""}","D49"
"","","","","","survey-text","21","397167","0.0-21.0","0km3qhog1t","3","textures_list1","14707","","{""Q0"":""7""}","D34"
"","","","","","survey-text","22","412543","0.0-22.0","0km3qhog1t","3","textures_list1","15374","","{""Q0"":""6""}","D83"
"","","","","","survey-text","23","429351","0.0-23.0","0km3qhog1t","3","textures_list1","16806","","{""Q0"":""7""}","D26"
"","","","","","survey-text","24","443838","0.0-24.0","0km3qhog1t","3","textures_list1","14484","","{""Q0"":""5""}","D35"
"","","","","","survey-text","25","456710","0.0-25.0","0km3qhog1t","3","textures_list1","12871","","{""Q0"":""4""}","D111"
"","","","","","survey-text","26","468204","0.0-26.0","0km3qhog1t","3","textures_list1","11491","","{""Q0"":""6""}","D20"
"","","","","","survey-text","27","485595","0.0-27.0","0km3qhog1t","3","textures_list1","17388","","{""Q0"":""3""}","D64"
"","","","","","survey-text","28","497805","0.0-28.0","0km3qhog1t","3","textures_list1","12209","","{""Q0"":""1""}","D42"
"","","","","","survey-text","29","511516","0.0-29.0","0km3qhog1t","3","textures_list1","13708","","{""Q0"":""3""}","D80"
"","","","","","survey-text","30","531365","0.0-30.0","0km3qhog1t","3","textures_list1","19847","","{""Q0"":""2""}","D36"
"","","","","","survey-text","31","547353","0.0-31.0","0km3qhog1t","3","textures_list1","15986","","{""Q0"":""6""}","D6*"
"","","","","","survey-text","32","563366","0.0-32.0","0km3qhog1t","3","textures_list1","16011","","{""Q0"":""1""}","D62"
"","","","","","survey-text","33","576850","0.0-33.0","0km3qhog1t","3","textures_list1","13481","","{""Q0"":""3""}","D68"
"","","","","","survey-text","34","594245","0.0-34.0","0km3qhog1t","3","textures_list1","17392","","{""Q0"":""2""}","D3*"
"","","","","","survey-text","35","609516","0.0-35.0","0km3qhog1t","3","textures_list1","15269","","{""Q0"":""1""}","D89"
"","","","","","survey-text","36","627392","0.0-36.0","0km3qhog1t","3","textures_list1","17873","","{""Q0"":""3""}","D25"
"","","","","","survey-text","37","642264","0.0-37.0","0km3qhog1t","3","textures_list1","14870","","{""Q0"":""3""}","D86"
"","","","","","survey-text","38","657100","0.0-38.0","0km3qhog1t","3","textures_list1","14834","","{""Q0"":""5""}","D104"
"","","","","","survey-text","39","669480","0.0-39.0","0km3qhog1t","3","textures_list1","12378","","{""Q0"":""2""}","D94"
"","","","","","survey-text","40","688722","0.0-40.0","0km3qhog1t","3","textures_list1","19240","","{""Q0"":""4""}","D69"
"","","","","","survey-text","41","703021","0.0-41.0","0km3qhog1t","3","textures_list1","14296","","{""Q0"":""5""}","D8"
"","","","","","survey-text","42","718008","0.0-42.0","0km3qhog1t","3","textures_list1","14986","","{""Q0"":""5""}","D18"
